sort;fill;n;T(n)
SS;S;10000; 0.538416
SS;S;20000; 1.75511
SS;S;30000; 4.49706
SS;S;40000; 6.89014
SS;S;50000; 12.2136
SS;S;60000; 15.5358
SS;S;70000; 21.863
SS;S;80000; 28.0983
SS;S;90000; 45.3166
SS;SS;10000; 0.606796
SS;SS;20000; 2.34215
SS;SS;30000; 5.16917
SS;SS;40000; 9.41808
SS;SS;50000; 14.7989
SS;SS;60000; 21.223
SS;SS;70000; 23.9446
SS;SS;80000; 34.2019
SS;SS;90000; 46.9534
SS;US;10000; 0.698659
SS;US;20000; 2.93826
SS;US;30000; 6.272
SS;US;40000; 11.3767
SS;US;50000; 17.661
SS;US;60000; 25.1772
SS;US;70000; 34.6204
SS;US;80000; 35.3794
SS;US;90000; 41.7379
SS;RS;10000; 0.409537
SS;RS;20000; 1.66113
SS;RS;30000; 3.71644
SS;RS;40000; 6.59381
SS;RS;50000; 10.3753
SS;RS;60000; 14.7173
SS;RS;70000; 20.0288
SS;RS;80000; 26.254
SS;RS;90000; 33.6117
IS;S;10000; 0.0001055
IS;S;20000; 0.0002136
IS;S;30000; 0.0003319
IS;S;40000; 0.0007321
IS;S;50000; 0.0005457
IS;S;60000; 0.0009367
IS;S;70000; 0.0011007
IS;S;80000; 0.001044
IS;S;90000; 0.0014062
IS;SS;10000; 0.166284
IS;SS;20000; 0.643889
IS;SS;30000; 1.47448
IS;SS;40000; 2.60741
IS;SS;50000; 4.10512
IS;SS;60000; 6.04706
IS;SS;70000; 8.1388
IS;SS;80000; 10.4765
IS;SS;90000; 13.3291
IS;US;10000; 0.935628
IS;US;20000; 3.65394
IS;US;30000; 8.19714
IS;US;40000; 14.6271
IS;US;50000; 22.8696
IS;US;60000; 32.8236
IS;US;70000; 45.2254
IS;US;80000; 58.6345
IS;US;90000; 74.5963
IS;RS;10000; 0.459204
IS;RS;20000; 1.84011
IS;RS;30000; 4.10332
IS;RS;40000; 7.3698
IS;RS;50000; 11.5866
IS;RS;60000; 16.691
IS;RS;70000; 22.5141
IS;RS;80000; 29.4006
IS;RS;90000; 37.2993
BS;S;10000; 9.81e-05
BS;S;20000; 0.0001957
BS;S;30000; 0.0002949
BS;S;40000; 0.0003939
BS;S;50000; 0.0007416
BS;S;60000; 0.0006034
BS;S;70000; 0.0006885
BS;S;80000; 0.0013905
BS;S;90000; 0.0013367
BS;SS;10000; 0.829664
BS;SS;20000; 3.25221
BS;SS;30000; 7.2199
BS;SS;40000; 12.9268
BS;SS;50000; 20.1576
BS;SS;60000; 29.1784
BS;SS;70000; 39.5875
BS;SS;80000; 51.8997
BS;SS;90000; 65.6596
BS;US;10000; 1.55207
BS;US;20000; 6.20379
BS;US;30000; 13.9494
BS;US;40000; 24.6698
BS;US;50000; 38.6019
BS;US;60000; 55.7026
BS;US;70000; 75.7098
BS;US;80000; 99.1127
BS;US;90000; 125.27
BS;RS;10000; 1.23927
BS;RS;20000; 4.93448
BS;RS;30000; 11.0135
BS;RS;40000; 19.5128
BS;RS;50000; 30.5784
BS;RS;60000; 44.1656
BS;RS;70000; 60.9694
BS;RS;80000; 78.327
BS;RS;90000; 99.5015
MS;S;10000; 0.065796
MS;S;20000; 0.137031
MS;S;30000; 0.209513
