Сортировка;Заполнение;Количество элементов;Время сортировки(сек)
SS;S;;
;;10000;0.432192
;;20000;1.29126
;;30000;2.75478
;;40000;4.89201
;;50000;7.65748
;;60000;10.9937
;;70000;15.0872
;;80000;19.5353
;;90000;24.8854
;;100000;31.0504
;;110000;37.1149
SS;SS;;
;;10000;0.309458
;;20000;1.25082
;;30000;2.82078
;;40000;5.08329
;;50000;7.82753
;;60000;11.2627
;;70000;15.3235
;;80000;20.0707
;;90000;25.6294
;;100000;31.3773
;;110000;37.928
SS;US;;
;;10000;0.381257
;;20000;1.53081
;;30000;3.44977
;;40000;6.12647
;;50000;9.5624
;;60000;13.7782
;;70000;18.7806
;;80000;24.5653
;;90000;31.0834
;;100000;38.3282
;;110000;46.2528
SS;RS;;
;;10000;0.307281
;;20000;1.22746
;;30000;2.74793
;;40000;5.23586
;;50000;8.44214
;;60000;13.7763
;;70000;18.6002
;;80000;24.9288
;;90000;27.5836
;;100000;31.7841
;;110000;36.9191
;; ; 
;; ; 
;; ; 
;; ; 
;; ; 
Сортировка;Заполнение;Количество элементов;Время сортировки(сек)
IS;S;;
;;10000;8.58e-05
;;20000;0.0001778
;;30000;0.0002751
;;40000;0.0003745
;;50000;0.0004594
;;60000;0.0005308
;;70000;0.0006685
;;80000;0.0007347
;;90000;0.0008532
;;100000;0.0010105
;;110000;0.0010275
IS;SS;;
;;10000;0.118842
;;20000;0.473401
;;30000;1.05393
;;40000;1.87296
;;50000;2.93918
;;60000;4.24972
;;70000;5.76355
;;80000;7.51071
;;90000;9.55902
;;100000;14.2675
;;110000;15.6239
IS;US;;
;;10000;0.652456
;;20000;2.62258
;;30000;5.99825
;;40000;10.6908
;;50000;16.5368
;;60000;23.7153
;;70000;32.0017
;;80000;42.0567
;;90000;52.9515
;;100000;65.5407
;;110000;79.0832
IS;RS;;
;;10000;0.333994
;;20000;1.32284
;;30000;2.94169
;;40000;5.21082
;;50000;8.1482
;;60000;11.8219
;;70000;15.9767
;;80000;23.8598
;;90000;27.5079
;;100000;37.0094
;;110000;39.5525
;; ; 
;; ; 
;; ; 
;; ; 
;; ; 
Сортировка;Заполнение;Количество элементов;Время сортировки(сек)
BS;S;;
;;10000;8.69e-05
;;20000;0.0001829
;;30000;0.0002656
;;40000;0.0003667
;;50000;0.0004604
;;60000;0.0005536
;;70000;0.0006487
;;80000;0.0007196
;;90000;0.0008253
;;100000;0.0008984
;;110000;0.0010268
BS;SS;;
;;10000;0.590011
;;20000;2.35306
;;30000;5.26908
;;40000;9.37429
;;50000;14.6774
;;60000;21.1202
;;70000;28.8029
;;80000;37.4752
;;90000;47.4852
;;100000;58.4973
;;110000;70.8491
BS;US;;
;;10000;1.09592
;;20000;4.39606
;;30000;9.86374
;;40000;17.5572
;;50000;27.8516
;;60000;39.5838
;;70000;53.6352
;;80000;70.1138
;;90000;89.6466
;;100000;109.596
;;110000;132.712
BS;RS;;
;;10000;0.932384
;;20000;3.70602
;;30000;8.32765
;;40000;14.8092
;;50000;23.213
;;60000;33.5204
;;70000;45.3819
;;80000;62.1944
;;90000;75.4081
;;100000;97.5033
;;110000;117.504
;; ; 
;; ; 
;; ; 
;; ; 
;; ; 
Сортировка;Заполнение;Количество элементов;Время сортировки(сек)
MS;S;;
;;10000;0.0600646
;;20000;0.117101
;;30000;0.169873
;;40000;0.230453
;;50000;0.284562
;;60000;0.346617
;;70000;0.405674
;;80000;0.468342
;;90000;0.528692
;;100000;0.578752
;;110000;0.644183
MS;SS;;
;;10000;0.0557126
;;20000;0.120674
;;30000;0.172239
;;40000;0.228718
;;50000;0.285598
;;60000;0.351868
;;70000;0.402663
;;80000;0.470206
;;90000;0.523566
;;100000;0.58072
;;110000;0.650315
MS;US;;
;;10000;0.0565053
;;20000;0.112931
;;30000;0.169492
;;40000;0.229905
;;50000;0.285248
;;60000;0.351411
;;70000;0.402939
;;80000;0.480513
;;90000;0.524759
;;100000;0.579664
;;110000;0.647454
MS;RS;;
;;10000;0.0615326
;;20000;0.114147
;;30000;0.175867
;;40000;0.234358
;;50000;0.293434
;;60000;0.353408
;;70000;0.41278
;;80000;0.497548
;;90000;0.554838
;;100000;0.593705
;;110000;0.656557
;; ; 
;; ; 
;; ; 
;; ; 
;; ; 
Сортировка;Заполнение;Количество элементов;Время сортировки(сек)
SHS;S;;
;;10000;0.0010946
;;20000;0.0025289
;;30000;0.0036951
;;40000;0.0053029
;;50000;0.0067562
;;60000;0.0080853
;;70000;0.0100571
;;80000;0.011635
;;90000;0.0128724
;;100000;0.0143145
;;110000;0.0157939
SHS;SS;;
;;10000;0.0020111
;;20000;0.0040461
;;30000;0.0062479
;;40000;0.0132477
;;50000;0.0109628
;;60000;0.0136345
;;70000;0.016535
;;80000;0.0194976
;;90000;0.021571
;;100000;0.0237768
;;110000;0.0265395
SHS;US;;
;;10000;0.002418
;;20000;0.0052173
;;30000;0.00785
;;40000;0.0112777
;;50000;0.0143152
;;60000;0.0168609
;;70000;0.0197327
;;80000;0.0239638
;;90000;0.0298033
;;100000;0.0310234
;;110000;0.0322673
SHS;RS;;
;;10000;0.0049247
;;20000;0.0112556
;;30000;0.018936
;;40000;0.0253778
;;50000;0.0351102
;;60000;0.0400203
;;70000;0.0516336
